name,reviews.rating,cleaned_text
Sauvignon Blanc - 3l Bottle - Wine Cube153,5.0,far best boxed wine ive found comparable mediumpriced bottled sauvignon blanc great buy
California Roots Chardonnay White Wine - 750ml,2.0,taste absolutely fine chardonnay however bottle broke removing corkscrew second break far enough didnt want risk drinking risk glass shard ive bought cheaper wine like yellowtail etc never experienced bottle breaking
California Roots Chardonnay White Wine - 750ml,4.0,didnt find sweet everyones taste differs usually dont like sweet wine gravitate towards chardonnay sauvignon blanc felt like one buttery taste sweet citrusy taste like another reviewer stated price definitely keeper
Red Blend - 3l Bottle - Wine Cube153,5.0,boyfriend brought home whim delighted tasty lasted u couple week even better
Disaronno174 Almond Liqueur - 750ml Bottle,4.0,love disaronno smooth texture flavor lightly sweet decadent rock little cream
Pinot Grigio - 500ml Bottle - Wine Cube153,5.0,im surprised good price taste like sauvignon blanc
California Roots Red Blend Wine - 750ml,5.0,nice light wine sure expect surprised well tasted bottle
Chardonnay - 1l Bottle - Wine Cube153,4.0,much drink white wine needed find budget bottle wed dollar bottle beat pretty good wont impress anyone mondaythursday home budget drinking good
Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,5.0,served different variety party guest loved since wine expert simply give note variety fancy pant website robust rich palate ripe berry red fruit toasty oak flavor cherry vanilla spice mouth lead long lingering finish
Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,5.0,tried beringer make pink moscato trouble opening corkscrew one bought target instore really like sweet fruity flavor pink looking wine plan stock holiday
Fancy Pants174 Red Blend - 750ml Bottle,5.0,like fruit forward blend red smooth finish jammy taste love think year search favorite red wine ended
Josh Cellars174 Ros233 - 750ml Bottle,5.0,dry rose sweet perfect summer
Sofia Rose 750ml Bottle,5.0,wonderful dry wine taste divine
Sofia Rose 750ml Bottle,5.0,wonderful dry wine taste divine
Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,5.0,looking strongbow u year
Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,5.0,refreshing nice grapefruit flavor people dislike seltzer water good poured ice
Truly174 Colima Lime - 6pk / 12oz Bottles,5.0,sweetand like like taste sparkling water benefit alcohol
Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,5.0,best cabernet ive ever tasted simple
Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,5.0,refreshing loveit
Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,5.0,cayman jack margarita really good found southern california target cant find northern california store
George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,4.0,expected beer bitter side first time tried still enjoyed smooth taste id definitely buy get chance
Entwine174 Cabernet Sauvignon - 750ml Bottle,5.0,looked like linear regulator outside review ordered puppy put test definitely switcher fairly quiet well regulated like rm italy product great quality
La Marca174 Prosecco - 750ml Bottle,5.0,love sparkling wine find brand sweet im aging longer want sweet stufd medium body wine strong bubble love bubble alcohol content offer nice buzz fairly quickly ecstatic found brand target carry
Alamos174 Malbec - 750ml Bottle,5.0,served baby shower everyone went crazy inexpensive gem
Bogle Vineyards174 Chardonnay - 750ml Bottle,5.0,wine fullbodied delicious
Black Box174 Cabernet Sauvignon - 3l Bottle,4.0,super wine fruity taste regular wine drinker routine wine choice priced right good taste
Black Box174 Cabernet Sauvignon - 3l Bottle,1.0,taste either old spoiled stick bottle
Black Box174 Cabernet Sauvignon - 3l Bottle,5.0,goto wine dinner party better bottle
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,go great apple cider
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,consistent flavor quality jb dr pepper surprisingly tasty highly recommend love commercial mila proud keep good work
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,true classic spirit
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,love bourbon always first choice time unwind whether neat rock coke ginger ale grandpa whiskey sour nothing top jim beam nothing
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,white label devil cut dashed lemonade lime cordial enjoy jim
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,best drink get
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,4.0,make manhattens
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,best bourbon foundhave toured distillery love brand
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,like drpeper sip relax
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,better others
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,drank year always smooth tasty running shelf liquor store
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,keep jim beam hand every day week
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,great toaste drink ill drink
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,best tasteing defenetly smoothest around love
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,always keep bottle jim bean liquor cabinet value price incredible mix great
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,favorite mixed drink whiskey sam best price handle well buying
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,best whiskey around price cant beat
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,4.0,make manhattens
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,best bourbon foundhave toured distillery love brand
Yellow Tail174 Cabernet Sauvignon - 1.5l Bottle Bottle,5.0,drink yellow tail buy perfect wine price one love
El Jimador174 Tequila Reposado - 750ml Bottle,5.0,always buy item walmart cause always great price
Basil Hayden's174 Bourbon - 750ml Bottle,5.0,scotch drinker tasting basil haydens first time changed opinion bourbon enjoy scotch bourbon bh top list bourbon
Basil Hayden's174 Bourbon - 750ml Bottle,5.0,tasty bourbon
Basil Hayden's174 Bourbon - 750ml Bottle,5.0,basil hayden gateway world burbon ever since held flavor profile gold standard trying others market bit always find coming back first love
Basil Hayden's174 Bourbon - 750ml Bottle,5.0,outstanding simply outstanding beverage spicy light comforting finish staple home bar rotation never let bottle get near empty without backfilling fresh one
Cook's174 Brut Champagne - 750ml Bottle,5.0,love cook champagne however drink brut would love extra dry become available sam mobile al
Menage A Trois174 Silk Red Blend - 750ml Bottle,5.0,favorite red wine menage trois long time silk blend even better regular blend price remained affordable quality remained consistently good red blend
Barefoot174 Riesling - 1.5l Bottle Bottle,5.0,mother turned barefoot riesling year back reflex always choose given option
Davinci174 Chianti - 750ml Bottle,5.0,trying find red wine smooth finish stuff exactly looking
Hornitos Reposado Tequila - 750ml,5.0,perfect sipping tequila chilled neat
Hornitos Reposado Tequila - 750ml,5.0,perfect sipping tequila chilled neat
Hornitos Reposado Tequila - 750ml,5.0,buddy ordered shot stuff horn game frankly come tequila usually brace rough shot maybe im drinking wrong stuff really easy put back lingering aftertaste reasonably priced good value tequila youre looking
Hornitos Reposado Tequila - 750ml,5.0,straight ice
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,drink choice really want enjoy time alone
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,make orange jello taste like creamsicle strawberry taste like strawberry cream lemon taste like lemon meringuei could go onget today
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter reasonable price try bet youll love al
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,everything great product cheap price perfect taste mixing flavor soda make delicious
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,5.0,love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction
Skinnygirl174 Original Margarita - 750ml Bottle,2.0,seems missing something much better margarita mix without additive
Mirassou174 Pinot Noir - 750ml Bottle,4.0,good summer red become favorite reasonably priced wine enjoy
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,5.0,love flavor buying great summer drink
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,4.0,bought pack whim im glad variety drink great price even le discount liquor store ill definitely get
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,5.0,vrty good
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,4.0,jamaican happy
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,5.0,really enjoy sam like send wild goose chase saying available none found even empty pallet
Apothic174 Dark Red Blend - 750ml Bottle,5.0,buying apothic dark couple year red blend choice smooth reasonably priced
Apothic174 Dark Red Blend - 750ml Bottle,3.0,decent table wine price bend sweeter side spectrum
Rumchata174 Caribbean Rum - 750ml Bottle,5.0,rum chata great mixed fireball caramel vodka
Sauza174 Silver Tequila - 750ml Bottle,5.0,love brand tequila im margarita fan like make different kind
Corona Extra174 Beer - 12pk / 12oz Bottles,5.0,love wouldnt mind drinking
Bud Light174 Lime Beer - 12pk / 12oz Cans,4.0,hot day near water cheapish beer bud light solid splash lime make light refreshing choice target pack averagepriced provide beverage enjoy particularly lady
Absolut174 Mandarin Vodka - 750ml Bottle,5.0,love vodka perfect screwdriver blend well juice interesting citrus blend use grapefruit juice
Menage A Trois174 Red Blend - 750ml Bottle,5.0,weve drinking wine one group buy regularly good wine affordable price
Menage A Trois174 Red Blend - 750ml Bottle,4.0,never disappointed constant taste
Menage A Trois174 Red Blend - 750ml Bottle,5.0,delicious blended wine give try might surprised
Schmitt Sohne174 Relax Riesling - 750ml Bottle,5.0,far best reisling ive ever love always consistent flavor go
Blue Moon174 Belgian White Wheat Ale - 12pk / 12oz Bottles,5.0,great taste dont forget slice orage side
Kinky174 Fruit Liqueur - 750ml Bottle,5.0,fruity smooth like straight ice bit chambord
Chateau Ste Michelle174 Riesling - 750ml Bottle,5.0,favorite riesling spotted sale bottle delighted usually pay around location buying two bottle saved six dollar thanks target
Leinenkugel's174 Sunset Wheat Beer - 6pk / 12oz Bottles,5.0,refreshing taste beer especially summer citrus combined w blueberry
Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles,5.0,right target sierra nevada torpedo ale outstanding character warm subtle hint fruit strong overly bitter hop aftertaste excellent hard day work kick back relax target recently began carrying beer could enthused
Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles,5.0,best beer money wish club omaha would carry idea club carry
New Belgium174 Fat Tire Amber Ale - 12pk / 12oz Bottles,5.0,battle ground walmart high priced surrounding store
Smirnoff174 Ice Party Pack - 12pk / 11.2oz Bottles,5.0,alcohol beverage
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,momma love stuff taste rockur sock
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,go great apple cider
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,true classic spirit
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,white label devil cut dashed lemonade lime cordial enjoy jim
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,best drink get
Jim Beam Bourbon Whiskey Pet-750ml Bottle,4.0,make manhattens
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,best bourbon foundhave toured distillery love brand
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,like drpeper sip relax
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,better others
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,drank year always smooth tasty running shelf liquor store
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,keep jim beam hand every day week
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,great toaste drink ill drink
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,best tasteing defenetly smoothest around love
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,always keep bottle jim bean liquor cabinet value price incredible mix great
Jim Beam Bourbon Whiskey Pet-750ml Bottle,4.0,make manhattens
Jim Beam Bourbon Whiskey Pet-750ml Bottle,5.0,best bourbon foundhave toured distillery love brand
Josh Cellars174 Cabernet Sauvignon - 750ml Bottle,4.0,good cabernet sauvignon money line wine typically range
Josh Cellars174 Cabernet Sauvignon - 750ml Bottle,5.0,become goto wine terribly expensive terribly good
Heineken174 Lager - 12pk / 12oz Bottles,5.0,like good pricequality deal heineken lager fav easygoing beer prefer bottled like drink glass
Heineken174 Lager - 12pk / 12oz Bottles,5.0,fresh cheaper anywhere area
Heineken174 Lager - 12pk / 12oz Bottles,5.0,bought best price great convenience order online pick store great job super easy
Heineken174 Lager - 12pk / 12oz Bottles,5.0,made party special everyone pleased choice drink
Effen174 Black Cherry Vodka - 750ml Bottle,5.0,taste drink
Effen174 Black Cherry Vodka - 750ml Bottle,5.0,far best flavored vodka market drink soda water flavor crisp sweet thick
Effen174 Black Cherry Vodka - 750ml Bottle,1.0,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one
Effen174 Black Cherry Vodka - 750ml Bottle,1.0,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one
Sauza174 Gold Tequila - 750ml Bottle,5.0,use blue agave light golden syrup one lime ice gold sauza tequila perfect drink
Sauza174 Gold Tequila - 750ml Bottle,5.0,use blue agave light golden syrup one lime ice gold sauza tequila perfect drink
Starborough174 Sauvignon Blanc - 750ml Bottle,4.0,starborough surprise alternate fume blanc grigio wine soft average tasty white wine citrus aroma gracious acidity layered texture enough satisfy chardonnay alternate crisp finish nice experience
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,matter many different whiskey one far able resist taste love f jim beam
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,product smoothest going make great gift
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,use jim beam make alot different kind marinade sauce make honey bourbon marinade smoking jerky taste amazing everyone say best jerky theyve ever thanks making best bourbon market jim beam
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,wife enjoy mixed coke monster black cherry excellent
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,favorite bourbon even love aroma nice vanilla scent going never get tired jim beam black
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,im single malt scotch guy generally two finger neat quality cigar week stressful day ill couple beer work family get home trouble beer gut come trend looking something similar favorite scotch little budget drink daily jim beam black awesome substitute rich white oak aroma flavor isnt near smooth favorite scotch flavor point thank jim beam putting great whiskey affordable price youve got customer life
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,exceptionally good flavor
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,matter go year various bourbon tastingsjim beam black head shoulder rest matter price tag
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,im personally wild turkey drinker cudos jim beam producing classy commercial got right girl spokesperson good job classy
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,seriously ask whats great isnt great
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,explanation necessary
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,first started drinking jim bean went camping didnt want carry bear around tried jim bean first red stag cherry tried devil cut came home hooked ever since usually mix coke drpepper
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,best bourbon buy one smoothest bourbon ive tasted typically drink woodford reserve eagle rare tried buy bottle every two week
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,beam best smooth
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,tried jb black first time tonight smooth made whiskey sour awesome thanks jim beam awesome bourbon
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,enjoying jb black past three year flavor o higher proof bur another without collapsing disappeared even extensive liquor store area happened double oaked ok match black find sonoma county california
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,bought early december didnt make new year one awesome keep great work
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,absolutely love love love
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,5.0,explanation necessary
Bogle Vineyards174 Cabernet Sauvignon - 750ml Bottle,4.0,bad raised price wont buy
Bogle Vineyards174 Cabernet Sauvignon - 750ml Bottle,5.0,one best shelf
Cook's174 Brut Champagne - 1.5l Bottle Bottle,5.0,purchased item make mimosa left mimosa delicious found california champaign tasteless cold right lesser temperature course dom perignon would make mimosa dom anyway
Pinnacle Original Flavored Vodka - 1.75 L,5.0,drink choice really want enjoy time alone
Pinnacle Original Flavored Vodka - 1.75 L,5.0,pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter reasonable price try bet youll love al
Pinnacle Original Flavored Vodka - 1.75 L,5.0,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love
Pinnacle Original Flavored Vodka - 1.75 L,5.0,love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction
Sammy's Beach Bar174 White Rum - 750ml Bottle,5.0,great run mix rocking fun get today mix away wont disappointed
Miller Genuine Draft174 Beer - 12pk / 12oz Bottles,5.0,love great tast
Lolailo174 Red Sangria - 1.5l Bottle Bottle,2.0,im going buy sangria one id choose flavor fruity others ive pleasant palate
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,big wine drinker love stuff sweet enough bitter regular wine really taste fruity undertone price nice well recommended
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,absolutely best sangria ever hoping sam continues carry buy six bottle visit
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,searched high low sangria far best tasting sweet smooth love chilled perfect hot summer day
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,purchase every time go sam started disappear last time went mini case sixbought scared something good might reappear please reassure u continue carry
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,taste love wine
Lolailo174 Red Sangria - 1.5l Bottle Bottle,5.0,ever wanted wine give fruity juicy taste without hard alcohol kick well still give cocktail buzz without hard taste love stuff even picky grandmother love
Diseno174 Malbec - 750ml Bottle,5.0,delightful surprise excellent taste aroma nice finish
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,1.0,love cabernet merlot wine couldnt even finish glass stuffand thats saying lot
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,5.0,drinking wine year good every day table wine break bank
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,4.0,im wine girl way back lot pricey wine liked poured drain cheaper wineusually stay right middle happiest however close friend recommended one couple year ago nice everyday wine say purpose one favorite
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,1.0,often come across wine bad ive tasted cooking wine better unfortunately wife bought four bottle stuff tried return sam wouldnt accept blame id pour sink might damage pipe sigh
Michelob174 Ultra Beer - 24pk / 12oz Cans,1.0,happy carry can bottle much better bring back please
Rolling Rock174 Extra Pale Beer - 12pk / 12oz Bottles,5.0,yummmmmmyyyyyyyyyyyyyyyy
Not Your Father's174 Vanilla Cream Ale - 6pk / 12oz Bottles,5.0,beer delicious tell quite sweet dont like cream soda wont like case perfect absolutely love
Heineken174 Lager - 6pk / 12oz Bottles,5.0,fresh cheaper anywhere area
Heineken174 Lager - 6pk / 12oz Bottles,5.0,bought best price great convenience order online pick store great job super easy
Heineken174 Lager - 6pk / 12oz Bottles,5.0,made party special everyone pleased choice drink
14 Hands174 Red Blend - 750ml Bottle,5.0,really enjoy strong tannin taste ok price pull bottle w pizza red sauce dish found smooth red w meal
Meiomi174 Pinot Noir - 750ml Bottle,5.0,everyone share love great tasting soft harsh aftertaste
Meiomi174 Pinot Noir - 750ml Bottle,4.0,bought two bottle meiomi give one friend enjoyed drinking bottle wondering aged
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,5.0,bought fifth jim beam apple mixed ice cold mtn dew great especially add twist fresh lemon
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,3.0,buy bottle every week thing like every time take top leaf black residue drink gross smell hand twisting top guy could fix would twice amazing
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,5.0,went local store purchase another apple flavored product saw decided purchase jim beam apple instead im glad mix jim beam cranberry juice want little fizzy ill add seagrams ginger ale love drink purchasing soon
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,5.0,hesitant buy jim beam apple trying apple whiskey disappointed smooth light fruity good
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,5.0,mix jim beam apple little ginger ale great summer refreshment
19 Crimes174 Red Blend - 750ml Bottle,5.0,first time trying love
19 Crimes174 Red Blend - 750ml Bottle,5.0,great tasting smooth blend awesome price
Horintos Plata Tequila - 750ml Bottle,5.0,sip orange slice
Horintos Plata Tequila - 750ml Bottle,5.0,need salt lime addition make even better
Horintos Plata Tequila - 750ml Bottle,5.0,drink
