name,cleaned_text,reviews.rating,sentiment
Chardonnay - 1l Bottle - Wine Cube153,much drink white wine needed find budget bottle wed dollar bottle beat pretty good wont impress anyone mondaythursday home budget drinking good,4.0,1
Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,served different variety party guest loved since wine expert simply give note variety fancy pant website robust rich palate ripe berry red fruit toasty oak flavor cherry vanilla spice mouth lead long lingering finish,5.0,1
Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,tried beringer make pink moscato trouble opening corkscrew one bought target instore really like sweet fruity flavor pink looking wine plan stock holiday,5.0,1
Fancy Pants174 Red Blend - 750ml Bottle,like fruit forward blend red smooth finish jammy taste love think year search favorite red wine ended,5.0,1
Josh Cellars174 Ros233 - 750ml Bottle,dry rose sweet perfect summer,5.0,1
Sofia Rose 750ml Bottle,wonderful dry wine taste divine,5.0,1
Sofia Rose 750ml Bottle,wonderful dry wine taste divine,5.0,1
Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,looking strongbow u year,5.0,0
Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,refreshing nice grapefruit flavor people dislike seltzer water good poured ice,5.0,1
Truly174 Colima Lime - 6pk / 12oz Bottles,sweetand like like taste sparkling water benefit alcohol,5.0,1
Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,best cabernet ive ever tasted simple,5.0,1
Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,refreshing loveit,5.0,0
Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,cayman jack margarita really good found southern california target cant find northern california store,5.0,1
George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,expected beer bitter side first time tried still enjoyed smooth taste id definitely buy get chance,4.0,1
Entwine174 Cabernet Sauvignon - 750ml Bottle,looked like linear regulator outside review ordered puppy put test definitely switcher fairly quiet well regulated like rm italy product great quality,5.0,1
La Marca174 Prosecco - 750ml Bottle,love sparkling wine find brand sweet im aging longer want sweet stufd medium body wine strong bubble love bubble alcohol content offer nice buzz fairly quickly ecstatic found brand target carry,5.0,1
Alamos174 Malbec - 750ml Bottle,served baby shower everyone went crazy inexpensive gem,5.0,-1
Bogle Vineyards174 Chardonnay - 750ml Bottle,wine fullbodied delicious,5.0,1
Black Box174 Cabernet Sauvignon - 3l Bottle,super wine fruity taste regular wine drinker routine wine choice priced right good taste,4.0,1
Black Box174 Cabernet Sauvignon - 3l Bottle,taste either old spoiled stick bottle,1.0,0
Black Box174 Cabernet Sauvignon - 3l Bottle,goto wine dinner party better bottle,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,go great apple cider,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,consistent flavor quality jb dr pepper surprisingly tasty highly recommend love commercial mila proud keep good work,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,true classic spirit,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,love bourbon always first choice time unwind whether neat rock coke ginger ale grandpa whiskey sour nothing top jim beam nothing,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,white label devil cut dashed lemonade lime cordial enjoy jim,5.0,-1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,best drink get,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,make manhattens,4.0,0
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,best bourbon foundhave toured distillery love brand,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick,5.0,-1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,like drpeper sip relax,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,better others,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,drank year always smooth tasty running shelf liquor store,5.0,0
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,keep jim beam hand every day week,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,great toaste drink ill drink,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,best tasteing defenetly smoothest around love,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,always keep bottle jim bean liquor cabinet value price incredible mix great,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,favorite mixed drink whiskey sam best price handle well buying,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,best whiskey around price cant beat,5.0,1
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,make manhattens,4.0,0
Jim Beam174 Bourbon Whiskey - 1.75l Bottle,best bourbon foundhave toured distillery love brand,5.0,1
Yellow Tail174 Cabernet Sauvignon - 1.5l Bottle Bottle,drink yellow tail buy perfect wine price one love,5.0,1
El Jimador174 Tequila Reposado - 750ml Bottle,always buy item walmart cause always great price,5.0,1
Basil Hayden's174 Bourbon - 750ml Bottle,scotch drinker tasting basil haydens first time changed opinion bourbon enjoy scotch bourbon bh top list bourbon,5.0,1
Basil Hayden's174 Bourbon - 750ml Bottle,tasty bourbon,5.0,0
Basil Hayden's174 Bourbon - 750ml Bottle,basil hayden gateway world burbon ever since held flavor profile gold standard trying others market bit always find coming back first love,5.0,1
Basil Hayden's174 Bourbon - 750ml Bottle,outstanding simply outstanding beverage spicy light comforting finish staple home bar rotation never let bottle get near empty without backfilling fresh one,5.0,1
Cook's174 Brut Champagne - 750ml Bottle,love cook champagne however drink brut would love extra dry become available sam mobile al,5.0,1
Menage A Trois174 Silk Red Blend - 750ml Bottle,favorite red wine menage trois long time silk blend even better regular blend price remained affordable quality remained consistently good red blend,5.0,1
Barefoot174 Riesling - 1.5l Bottle Bottle,mother turned barefoot riesling year back reflex always choose given option,5.0,0
Davinci174 Chianti - 750ml Bottle,trying find red wine smooth finish stuff exactly looking,5.0,0
Hornitos Reposado Tequila - 750ml,perfect sipping tequila chilled neat,5.0,1
Hornitos Reposado Tequila - 750ml,perfect sipping tequila chilled neat,5.0,1
Hornitos Reposado Tequila - 750ml,buddy ordered shot stuff horn game frankly come tequila usually brace rough shot maybe im drinking wrong stuff really easy put back lingering aftertaste reasonably priced good value tequila youre looking,5.0,1
Hornitos Reposado Tequila - 750ml,straight ice,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,drink choice really want enjoy time alone,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,make orange jello taste like creamsicle strawberry taste like strawberry cream lemon taste like lemon meringuei could go onget today,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter reasonable price try bet youll love al,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,everything great product cheap price perfect taste mixing flavor soda make delicious,5.0,1
Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction,5.0,1
Skinnygirl174 Original Margarita - 750ml Bottle,seems missing something much better margarita mix without additive,2.0,1
Mirassou174 Pinot Noir - 750ml Bottle,good summer red become favorite reasonably priced wine enjoy,4.0,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,love flavor buying great summer drink,5.0,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,bought pack whim im glad variety drink great price even le discount liquor store ill definitely get,4.0,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,vrty good,5.0,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,jamaican happy,4.0,1
Seagram's174 Escapes Malt Beverage Variety Pack - 12pk / 12oz Bottles,really enjoy sam like send wild goose chase saying available none found even empty pallet,5.0,1
Apothic174 Dark Red Blend - 750ml Bottle,buying apothic dark couple year red blend choice smooth reasonably priced,5.0,0
Apothic174 Dark Red Blend - 750ml Bottle,decent table wine price bend sweeter side spectrum,3.0,0
Rumchata174 Caribbean Rum - 750ml Bottle,rum chata great mixed fireball caramel vodka,5.0,1
Sauza174 Silver Tequila - 750ml Bottle,love brand tequila im margarita fan like make different kind,5.0,1
Corona Extra174 Beer - 12pk / 12oz Bottles,love wouldnt mind drinking,5.0,1
Bud Light174 Lime Beer - 12pk / 12oz Cans,hot day near water cheapish beer bud light solid splash lime make light refreshing choice target pack averagepriced provide beverage enjoy particularly lady,4.0,1
Absolut174 Mandarin Vodka - 750ml Bottle,love vodka perfect screwdriver blend well juice interesting citrus blend use grapefruit juice,5.0,1
Menage A Trois174 Red Blend - 750ml Bottle,weve drinking wine one group buy regularly good wine affordable price,5.0,1
Menage A Trois174 Red Blend - 750ml Bottle,never disappointed constant taste,4.0,1
Menage A Trois174 Red Blend - 750ml Bottle,delicious blended wine give try might surprised,5.0,1
Schmitt Sohne174 Relax Riesling - 750ml Bottle,far best reisling ive ever love always consistent flavor go,5.0,1
Blue Moon174 Belgian White Wheat Ale - 12pk / 12oz Bottles,great taste dont forget slice orage side,5.0,1
Kinky174 Fruit Liqueur - 750ml Bottle,fruity smooth like straight ice bit chambord,5.0,1
Chateau Ste Michelle174 Riesling - 750ml Bottle,favorite riesling spotted sale bottle delighted usually pay around location buying two bottle saved six dollar thanks target,5.0,1
Leinenkugel's174 Sunset Wheat Beer - 6pk / 12oz Bottles,refreshing taste beer especially summer citrus combined w blueberry,5.0,0
Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles,right target sierra nevada torpedo ale outstanding character warm subtle hint fruit strong overly bitter hop aftertaste excellent hard day work kick back relax target recently began carrying beer could enthused,5.0,1
Sierra Nevada174 Torpedo Extra Ipa Beer - 6pk / 12oz Bottles,best beer money wish club omaha would carry idea club carry,5.0,1
New Belgium174 Fat Tire Amber Ale - 12pk / 12oz Bottles,battle ground walmart high priced surrounding store,5.0,-1
Smirnoff174 Ice Party Pack - 12pk / 11.2oz Bottles,alcohol beverage,5.0,0
Jim Beam Bourbon Whiskey Pet-750ml Bottle,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,momma love stuff taste rockur sock,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,go great apple cider,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,true classic spirit,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,white label devil cut dashed lemonade lime cordial enjoy jim,5.0,-1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,best drink get,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,make manhattens,4.0,0
Jim Beam Bourbon Whiskey Pet-750ml Bottle,best bourbon foundhave toured distillery love brand,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick,5.0,-1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,like drpeper sip relax,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,better others,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,drank year always smooth tasty running shelf liquor store,5.0,0
Jim Beam Bourbon Whiskey Pet-750ml Bottle,keep jim beam hand every day week,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,great toaste drink ill drink,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,best tasteing defenetly smoothest around love,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,always keep bottle jim bean liquor cabinet value price incredible mix great,5.0,1
Jim Beam Bourbon Whiskey Pet-750ml Bottle,make manhattens,4.0,0
Jim Beam Bourbon Whiskey Pet-750ml Bottle,best bourbon foundhave toured distillery love brand,5.0,1
Josh Cellars174 Cabernet Sauvignon - 750ml Bottle,good cabernet sauvignon money line wine typically range,4.0,1
Josh Cellars174 Cabernet Sauvignon - 750ml Bottle,become goto wine terribly expensive terribly good,5.0,-1
Heineken174 Lager - 12pk / 12oz Bottles,like good pricequality deal heineken lager fav easygoing beer prefer bottled like drink glass,5.0,1
Heineken174 Lager - 12pk / 12oz Bottles,fresh cheaper anywhere area,5.0,1
Heineken174 Lager - 12pk / 12oz Bottles,bought best price great convenience order online pick store great job super easy,5.0,1
Heineken174 Lager - 12pk / 12oz Bottles,made party special everyone pleased choice drink,5.0,1
Effen174 Black Cherry Vodka - 750ml Bottle,taste drink,5.0,0
Effen174 Black Cherry Vodka - 750ml Bottle,far best flavored vodka market drink soda water flavor crisp sweet thick,5.0,1
Effen174 Black Cherry Vodka - 750ml Bottle,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one,1.0,0
Effen174 Black Cherry Vodka - 750ml Bottle,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one,1.0,0
Sauza174 Gold Tequila - 750ml Bottle,use blue agave light golden syrup one lime ice gold sauza tequila perfect drink,5.0,1
Sauza174 Gold Tequila - 750ml Bottle,use blue agave light golden syrup one lime ice gold sauza tequila perfect drink,5.0,1
Starborough174 Sauvignon Blanc - 750ml Bottle,starborough surprise alternate fume blanc grigio wine soft average tasty white wine citrus aroma gracious acidity layered texture enough satisfy chardonnay alternate crisp finish nice experience,4.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,matter many different whiskey one far able resist taste love f jim beam,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,product smoothest going make great gift,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,use jim beam make alot different kind marinade sauce make honey bourbon marinade smoking jerky taste amazing everyone say best jerky theyve ever thanks making best bourbon market jim beam,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,wife enjoy mixed coke monster black cherry excellent,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,favorite bourbon even love aroma nice vanilla scent going never get tired jim beam black,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,im single malt scotch guy generally two finger neat quality cigar week stressful day ill couple beer work family get home trouble beer gut come trend looking something similar favorite scotch little budget drink daily jim beam black awesome substitute rich white oak aroma flavor isnt near smooth favorite scotch flavor point thank jim beam putting great whiskey affordable price youve got customer life,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,exceptionally good flavor,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,matter go year various bourbon tastingsjim beam black head shoulder rest matter price tag,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,im personally wild turkey drinker cudos jim beam producing classy commercial got right girl spokesperson good job classy,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,seriously ask whats great isnt great,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,explanation necessary,5.0,0
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,first started drinking jim bean went camping didnt want carry bear around tried jim bean first red stag cherry tried devil cut came home hooked ever since usually mix coke drpepper,5.0,-1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,best bourbon buy one smoothest bourbon ive tasted typically drink woodford reserve eagle rare tried buy bottle every two week,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,beam best smooth,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,tried jb black first time tonight smooth made whiskey sour awesome thanks jim beam awesome bourbon,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,enjoying jb black past three year flavor o higher proof bur another without collapsing disappeared even extensive liquor store area happened double oaked ok match black find sonoma county california,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,bought early december didnt make new year one awesome keep great work,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,absolutely love love love,5.0,1
Jim Beam174 Black Bourbon Whiskey - 750ml Bottle,explanation necessary,5.0,0
Bogle Vineyards174 Cabernet Sauvignon - 750ml Bottle,bad raised price wont buy,4.0,-1
Bogle Vineyards174 Cabernet Sauvignon - 750ml Bottle,one best shelf,5.0,1
Cook's174 Brut Champagne - 1.5l Bottle Bottle,purchased item make mimosa left mimosa delicious found california champaign tasteless cold right lesser temperature course dom perignon would make mimosa dom anyway,5.0,1
Pinnacle Original Flavored Vodka - 1.75 L,drink choice really want enjoy time alone,5.0,1
Pinnacle Original Flavored Vodka - 1.75 L,pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter reasonable price try bet youll love al,5.0,1
Pinnacle Original Flavored Vodka - 1.75 L,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love,5.0,1
Pinnacle Original Flavored Vodka - 1.75 L,love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction,5.0,1
Sammy's Beach Bar174 White Rum - 750ml Bottle,great run mix rocking fun get today mix away wont disappointed,5.0,1
Miller Genuine Draft174 Beer - 12pk / 12oz Bottles,love great tast,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,im going buy sangria one id choose flavor fruity others ive pleasant palate,2.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,big wine drinker love stuff sweet enough bitter regular wine really taste fruity undertone price nice well recommended,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,absolutely best sangria ever hoping sam continues carry buy six bottle visit,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,searched high low sangria far best tasting sweet smooth love chilled perfect hot summer day,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,purchase every time go sam started disappear last time went mini case sixbought scared something good might reappear please reassure u continue carry,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,taste love wine,5.0,1
Lolailo174 Red Sangria - 1.5l Bottle Bottle,ever wanted wine give fruity juicy taste without hard alcohol kick well still give cocktail buzz without hard taste love stuff even picky grandmother love,5.0,-1
Diseno174 Malbec - 750ml Bottle,delightful surprise excellent taste aroma nice finish,5.0,1
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,love cabernet merlot wine couldnt even finish glass stuffand thats saying lot,1.0,1
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,drinking wine year good every day table wine break bank,5.0,1
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,im wine girl way back lot pricey wine liked poured drain cheaper wineusually stay right middle happiest however close friend recommended one couple year ago nice everyday wine say purpose one favorite,4.0,1
Frontera174 Cabernet/merlot - 1.5l Bottle Bottle,often come across wine bad ive tasted cooking wine better unfortunately wife bought four bottle stuff tried return sam wouldnt accept blame id pour sink might damage pipe sigh,1.0,-1
Michelob174 Ultra Beer - 24pk / 12oz Cans,happy carry can bottle much better bring back please,1.0,1
Rolling Rock174 Extra Pale Beer - 12pk / 12oz Bottles,yummmmmmyyyyyyyyyyyyyyyy,5.0,0
Not Your Father's174 Vanilla Cream Ale - 6pk / 12oz Bottles,beer delicious tell quite sweet dont like cream soda wont like case perfect absolutely love,5.0,1
Heineken174 Lager - 6pk / 12oz Bottles,fresh cheaper anywhere area,5.0,1
Heineken174 Lager - 6pk / 12oz Bottles,bought best price great convenience order online pick store great job super easy,5.0,1
Heineken174 Lager - 6pk / 12oz Bottles,made party special everyone pleased choice drink,5.0,1
14 Hands174 Red Blend - 750ml Bottle,really enjoy strong tannin taste ok price pull bottle w pizza red sauce dish found smooth red w meal,5.0,1
Meiomi174 Pinot Noir - 750ml Bottle,everyone share love great tasting soft harsh aftertaste,5.0,1
Meiomi174 Pinot Noir - 750ml Bottle,bought two bottle meiomi give one friend enjoyed drinking bottle wondering aged,4.0,1
Jim Beam174 Apple Bourbon Whiskey - 750ml Bottle,bought fifth jim beam apple mixed ice cold mtn dew great especially add twist fresh lemon,5.0,1
